"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,3.1484e-05,6.6213e-05,0.00031416,9.9999e-05,-1.4913e-09,1.1809e-09,1,0.2885,0.796,-0.796,0
-1.1447,3.6297e-05,4.0496e-05,0.00031416,9.9999e-05,-1.1864e-09,1.9825e-09,1,0.29133,0.794,-0.794,0
-1.1447,5.2333e-05,3.6196e-05,0.00031416,9.9999e-05,-1.4545e-09,2.8806e-09,1,0.29416,0.792,-0.792,0
-1.1447,7.9588e-05,5.3314e-05,0.00031416,9.9999e-05,-2.2956e-09,3.8753e-09,1,0.29698,0.79,-0.79,0
-1.1447,4.6636e-05,2.4202e-05,0.00031416,0.0001,-1.1354e-09,2.7284e-09,1,0.29981,0.788,-0.788,0
-1.1447,2.9096e-05,3.3976e-06,0.00031416,0.0001,-3.0562e-10,2.1181e-09,1,0.30264,0.786,-0.786,0
-1.1447,2.697e-05,-9.0985e-06,0.00031416,0.0001,1.9387e-10,2.0446e-09,1,0.30547,0.784,-0.784,0
-1.1447,4.0256e-05,-1.3286e-05,0.00031417,0.0001,3.6299e-10,2.5079e-09,1,0.3083,0.782,-0.782,0
-1.1447,6.8955e-05,-9.1653e-06,0.00031417,0.0001,2.0175e-10,3.5078e-09,1,0.31113,0.78,-0.78,0
-1.1447,2.9238e-05,-2.0196e-06,0.00031416,0.0001,2.0618e-10,2.0123e-09,1,0.31396,0.778,-0.778,0
-1.1447,3.1549e-06,-1.0014e-05,0.00031416,0.0001,6.2094e-10,9.2017e-10,1,0.31678,0.776,-0.776,0
-1.1447,-9.2947e-06,-3.3149e-05,0.00031416,9.9999e-05,1.4461e-09,2.3129e-10,1,0.31961,0.774,-0.774,0
-1.1447,-8.11e-06,-7.1423e-05,0.00031415,9.9998e-05,2.6815e-09,-5.4262e-11,1,0.32244,0.772,-0.772,0
-1.1447,6.7089e-06,-0.00012484,0.00031415,9.9996e-05,4.3273e-09,6.3501e-11,1,0.32527,0.77,-0.77,0
-1.1447,2.435e-05,-0.00010185,0.00031415,9.9996e-05,3.4044e-09,5.9476e-11,1,0.3281,0.768,-0.768,0
-1.1447,3.1851e-05,-7.9634e-05,0.00031415,9.9997e-05,2.6828e-09,-5.7635e-11,1,0.33093,0.766,-0.766,0
-1.1447,2.9211e-05,-5.8183e-05,0.00031415,9.9997e-05,2.1628e-09,-2.8783e-10,1,0.33375,0.764,-0.764,0
-1.1447,1.6431e-05,-3.7499e-05,0.00031415,9.9998e-05,1.8443e-09,-6.3111e-10,1,0.33658,0.762,-0.762,0
-1.1447,-6.491e-06,-1.7581e-05,0.00031415,9.9998e-05,1.7273e-09,-1.0875e-09,1,0.33941,0.76,-0.76,0
-1.1447,2.9213e-05,-1.9032e-05,0.00031415,9.9999e-05,1.6432e-09,2.5463e-10,1,0.34224,0.758,-0.758,0
-1.1447,6.0979e-05,-2.0064e-05,0.00031416,9.9999e-05,1.4083e-09,1.4626e-09,1,0.34507,0.756,-0.756,0
-1.1447,8.8804e-05,-2.0677e-05,0.00031416,0.0001,1.0225e-09,2.5363e-09,1,0.3479,0.754,-0.754,0
-1.1447,0.00011269,-2.087e-05,0.00031416,0.0001,4.8583e-10,3.4759e-09,1,0.35072,0.752,-0.752,0
-1.1447,0.00013264,-2.0644e-05,0.00031416,0.0001,-2.0164e-10,4.2813e-09,1,0.35355,0.75,-0.75,0
-1.1447,8.0212e-05,-5.1677e-07,0.00031417,0.0001,-1.4307e-10,2.5954e-09,1,0.35638,0.748,-0.748,0
-1.1447,5.7655e-05,5.8041e-06,0.00031417,0.0001,1.1173e-10,1.8139e-09,1,0.35921,0.746,-0.746,0
-1.1447,6.4971e-05,-1.6818e-06,0.00031416,0.0001,5.6274e-10,1.9369e-09,1,0.36204,0.744,-0.744,0
-1.1447,0.00010216,-2.2975e-05,0.00031416,0.0001,1.21e-09,2.9644e-09,1,0.36487,0.742,-0.742,0
-1.1447,0.00016922,-5.8074e-05,0.00031415,9.9997e-05,2.0534e-09,4.8963e-09,1,0.3677,0.74,-0.74,0
-1.1447,0.00012268,-3.6785e-05,0.00031416,9.9999e-05,1.9629e-09,2.7567e-09,1,0.37052,0.738,-0.738,0
-1.1447,0.00010685,-1.7118e-05,0.00031416,9.9999e-05,1.9331e-09,1.6215e-09,1,0.37335,0.736,-0.736,0
-1.1447,0.00012172,9.2944e-07,0.00031416,9.9999e-05,1.964e-09,1.4904e-09,1,0.37618,0.734,-0.734,0
