"alpha_0^0","alpha_1^0","alpha_1^1","radiation flux density","u_0^0","u_1^0","u_1^1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,0,0,0.00031416,0.0001,-8.2563e-21,-5.7159e-21,1,0.24042,0.83,-0.83,0
-1.1447,0,0,0.00031416,0.0001,-4.0293e-21,-3.3104e-21,1,0.24324,0.828,-0.828,0
-1.1447,0,0,0.00031416,0.0001,-2.46e-23,-1.364e-21,1,0.24607,0.826,-0.826,0
-1.1447,0,0,0.00031416,0.0001,3.7576e-21,1.2324e-22,1,0.2489,0.824,-0.824,0
-1.1447,0,0,0.00031416,0.0001,7.3175e-21,1.1514e-21,1,0.25173,0.822,-0.822,0
-1.1447,0,0,0.00031416,0.0001,1.0655e-20,1.7205e-21,1,0.25456,0.82,-0.82,0
-1.1447,0,0,0.00031416,0.0001,7.7723e-21,3.9411e-21,1,0.25739,0.818,-0.818,0
-1.1447,0,0,0.00031416,0.0001,5.915e-21,5.4211e-21,1,0.26022,0.816,-0.816,0
-1.1447,0,0,0.00031416,0.0001,5.0834e-21,6.1604e-21,1,0.26304,0.814,-0.814,0
-1.1447,0,0,0.00031416,0.0001,5.2775e-21,6.1591e-21,1,0.26587,0.812,-0.812,0
-1.1447,0,0,0.00031416,0.0001,6.4973e-21,5.4171e-21,1,0.2687,0.81,-0.81,0
-1.1447,0,0,0.00031416,0.0001,7.4934e-21,5.5438e-21,1,0.27153,0.808,-0.808,0
-1.1447,0,0,0.00031416,0.0001,9.0186e-21,5.09e-21,1,0.27436,0.806,-0.806,0
-1.1447,0,0,0.00031416,0.0001,1.1073e-20,4.0557e-21,1,0.27719,0.804,-0.804,0
-1.1447,0,0,0.00031416,0.0001,1.3656e-20,2.4408e-21,1,0.28001,0.802,-0.802,0
-1.1447,0,0,0.00031416,0.0001,1.6769e-20,2.4555e-22,1,0.28284,0.8,-0.8,0
-1.1447,0,0,0.00031416,0.0001,1.3617e-20,-2.2471e-21,1,0.28567,0.798,-0.798,0
-1.1447,0,0,0.00031416,0.0001,9.6431e-21,-4.3261e-21,1,0.2885,0.796,-0.796,0
-1.1447,0,0,0.00031416,0.0001,4.848e-21,-5.9912e-21,1,0.29133,0.794,-0.794,0
-1.1447,0,0,0.00031416,0.0001,-7.6904e-22,-7.2427e-21,1,0.29416,0.792,-0.792,0
-1.1447,0,0,0.00031416,0.0001,-7.2076e-21,-8.0805e-21,1,0.29698,0.79,-0.79,0
-1.1447,0,0,0.00031416,0.0001,-6.4612e-21,-4.3195e-21,1,0.29981,0.788,-0.788,0
-1.1447,0,0,0.00031416,0.0001,-4.5437e-21,-6.9501e-22,1,0.30264,0.786,-0.786,0
-1.1447,0,0,0.00031416,0.0001,-1.455e-21,2.793e-21,1,0.30547,0.784,-0.784,0
-1.1447,0,0,0.00031416,0.0001,2.8047e-21,6.1445e-21,1,0.3083,0.782,-0.782,0
-1.1447,0,0,0.00031416,0.0001,8.2357e-21,9.3595e-21,1,0.31113,0.78,-0.78,0
