"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3326,1,0.7665,-0.458,-0.458,0
2.2682,1,0.76933,-0.456,-0.456,0
2.2051,1,0.77216,-0.454,-0.454,0
2.1435,1,0.77499,-0.452,-0.452,0
2.0853,1,0.77782,-0.45,-0.45,0
2.0275,1,0.78065,-0.448,-0.448,0
1.9695,1,0.78347,-0.446,-0.446,0
1.9113,1,0.7863,-0.444,-0.444,0
1.8533,1,0.78913,-0.442,-0.442,0
1.7953,1,0.79196,-0.44,-0.44,0
1.7411,1,0.79479,-0.438,-0.438,0
1.6934,1,0.79762,-0.436,-0.436,0
1.6464,1,0.80044,-0.434,-0.434,0
1.6048,1,0.80327,-0.432,-0.432,0
1.5713,1,0.8061,-0.43,-0.43,0
1.5398,1,0.80893,-0.428,-0.428,0
1.5133,1,0.81176,-0.426,-0.426,0
1.4964,1,0.81459,-0.424,-0.424,0
1.4795,1,0.81742,-0.422,-0.422,0
1.4636,1,0.82024,-0.42,-0.42,0
1.4581,1,0.82307,-0.418,-0.418,0
1.4524,1,0.8259,-0.416,-0.416,0
1.4468,1,0.82873,-0.414,-0.414,0
1.4457,1,0.83156,-0.412,-0.412,0
1.4457,1,0.83439,-0.41,-0.41,0
1.4458,1,0.83721,-0.408,-0.408,0
1.4326,1,0.84004,-0.406,-0.406,0
1.414,1,0.84287,-0.404,-0.404,0
1.3913,1,0.8457,-0.402,-0.402,0
1.3472,1,0.84853,-0.4,-0.4,0
1.2887,1,0.85136,-0.398,-0.398,0
1.2301,1,0.85418,-0.396,-0.396,0
1.176,1,0.85701,-0.394,-0.394,0
1.1292,1,0.85984,-0.392,-0.392,0
1.0823,1,0.86267,-0.39,-0.39,0
1.0406,1,0.8655,-0.388,-0.388,0
1.0195,1,0.86833,-0.386,-0.386,0
1.0016,1,0.87116,-0.384,-0.384,0
0.98484,1,0.87398,-0.382,-0.382,0
0.97622,1,0.87681,-0.38,-0.38,0
