"analytic radiation flux density","radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.187768,0.02025604,1,0.502,0,-0.498,0
3.191136,0.02048793,1,0.504,0,-0.496,0
3.194518,0.02071853,1,0.506,0,-0.494,0
3.197912,0.02094759,1,0.508,0,-0.492,0
3.201331,0.02117348,1,0.51,0,-0.49,0
3.20475,0.02139937,1,0.512,0,-0.488,0
3.20819,0.02162136,1,0.514,0,-0.486,0
3.211641,0.02184147,1,0.516,0,-0.484,0
3.215101,0.02205952,1,0.518,0,-0.482,0
3.218581,0.02227331,1,0.52,0,-0.48,0
3.22206,0.0224871,1,0.522,0,-0.478,0
3.225555,0.02269602,1,0.524,0,-0.476,0
3.229059,0.02290261,1,0.526,0,-0.474,0
3.232569,0.02310676,1,0.528,0,-0.472,0
3.236093,0.02330586,1,0.53,0,-0.47,0
3.239617,0.02350495,1,0.532,0,-0.468,0
3.243153,0.02369866,1,0.534,0,-0.466,0
3.246694,0.02388977,1,0.536,0,-0.464,0
3.25024,0.02407832,1,0.538,0,-0.462,0
3.253795,0.02426156,1,0.54,0,-0.46,0
3.25735,0.0244448,1,0.542,0,-0.458,0
3.260912,0.02462278,1,0.544,0,-0.456,0
3.264479,0.02479824,1,0.546,0,-0.454,0
3.268047,0.02497137,1,0.548,0,-0.452,0
3.271621,0.02513967,1,0.55,0,-0.45,0
3.275195,0.02530797,1,0.552,0,-0.448,0
3.278773,0.02547199,1,0.554,0,-0.446,0
3.282352,0.02563395,1,0.556,0,-0.444,0
3.285933,0.02579423,1,0.558,0,-0.442,0
3.289515,0.025951,1,0.56,0,-0.44,0
3.293097,0.02610777,1,0.562,0,-0.438,0
3.296679,0.02626206,1,0.564,0,-0.436,0
3.300261,0.02641516,1,0.566,0,-0.434,0
3.303843,0.02656755,1,0.568,0,-0.432,0
3.307424,0.02671848,1,0.57,0,-0.43,0
3.311004,0.02686942,1,0.572,0,-0.428,0
3.314581,0.02702023,1,0.574,0,-0.426,0
3.318158,0.02717098,1,0.576,0,-0.424,0
3.321732,0.02732216,1,0.578,0,-0.422,0
3.325302,0.02747425,1,0.58,0,-0.42,0
3.328871,0.02762634,1,0.582,0,-0.418,0
3.332436,0.02778069,1,0.584,0,-0.416,0
3.335997,0.02793613,1,0.586,0,-0.414,0
3.339555,0.028093,1,0.588,0,-0.412,0
3.343107,0.02825285,1,0.59,0,-0.41,0
3.346658,0.0284127,1,0.592,0,-0.408,0
3.350202,0.02857653,1,0.594,0,-0.406,0
3.353741,0.02874229,1,0.596,0,-0.404,0
