"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1397,-0.0044447,0.00036928,-0.007673,-0.0038858,-0.0074803,0.0003147,0.00010017,-1.7225e-07,3.3344e-08,3.337e-05,-1.3261e-07,3.3432e-05,1,0.13294,-0.906,-0.906,0
-1.1395,-0.0038397,0.0012631,-0.0078688,-0.005881,-0.0079765,0.00031449,0.0001001,-1.4185e-07,6.3878e-08,3.3326e-05,-1.29e-07,3.342e-05,1,0.13576,-0.904,-0.904,0
-1.1392,-0.003221,0.0023698,-0.0079488,-0.0091901,-0.0085841,0.00031427,0.00010004,-1.0929e-07,1.0426e-07,3.3283e-05,-1.3144e-07,3.3407e-05,1,0.13859,-0.902,-0.902,0
-1.1391,-0.0024708,0.002169,-0.0088261,-0.0098221,-0.0081261,0.00031414,9.9995e-05,-8.0585e-08,9.3439e-08,3.3264e-05,-1.2693e-07,3.3393e-05,1,0.14142,-0.9,-0.9,0
-1.139,-0.0017155,0.0019163,-0.0097351,-0.010348,-0.0076259,0.00031402,9.9955e-05,-5.2038e-08,8.0587e-08,3.3247e-05,-1.2215e-07,3.3379e-05,1,0.14425,-0.898,-0.898,0
-1.1388,-0.0011196,0.0017786,-0.010467,-0.011223,-0.0073119,0.0003139,9.9916e-05,-3.0307e-08,7.1717e-08,3.3225e-05,-1.1898e-07,3.3369e-05,1,0.14708,-0.896,-0.896,0
-1.1388,-0.00072017,0.001375,-0.010956,-0.012747,-0.0069754,0.00031384,9.9899e-05,-1.5341e-08,4.5812e-08,3.32e-05,-1.2214e-07,3.338e-05,1,0.14991,-0.894,-0.894,0
-1.1388,-0.00043371,0.00088669,-0.011052,-0.014175,-0.0068977,0.00031383,9.9894e-05,-4.2013e-09,1.6897e-08,3.3184e-05,-1.2705e-07,3.3394e-05,1,0.15274,-0.892,-0.892,0
-1.1388,-0.00037762,0.00047921,-0.010519,-0.015532,-0.0073663,0.00031384,9.9899e-05,-2.0772e-09,-6.3695e-09,3.3176e-05,-1.3352e-07,3.3406e-05,1,0.15556,-0.89,-0.89,0
-1.1388,-0.00023012,0.00016244,-0.011437,-0.01564,-0.0063824,0.00031385,9.9903e-05,1.0683e-09,-2.5724e-08,3.3168e-05,-1.3195e-07,3.3418e-05,1,0.15839,-0.888,-0.888,0
-1.1389,-0.0005719,-0.00016379,-0.012926,-0.012338,-0.0045608,0.00031396,9.9937e-05,-2.0247e-08,-3.7638e-08,3.3178e-05,-1.3799e-07,3.3436e-05,1,0.16122,-0.886,-0.886,0
-1.139,-0.00093186,-0.00049217,-0.014405,-0.0089476,-0.0027407,0.00031407,9.9973e-05,-4.2399e-08,-4.9382e-08,3.3189e-05,-1.4445e-07,3.3454e-05,1,0.16405,-0.884,-0.884,0
-1.1391,-0.0011181,-0.00056325,-0.014752,-0.0070214,-0.0020435,0.00031418,0.00010001,-5.2811e-08,-4.8146e-08,3.3194e-05,-1.4978e-07,3.3477e-05,1,0.16688,-0.882,-0.882,0
-1.1393,-0.001094,-0.00032272,-0.013728,-0.0068684,-0.0027062,0.00031429,0.00010004,-4.9004e-08,-3.119e-08,3.3192e-05,-1.5375e-07,3.3505e-05,1,0.16971,-0.88,-0.88,0
-1.1393,-0.000804,-4.1745e-05,-0.013145,-0.0070106,-0.0032908,0.00031429,0.00010004,-3.6857e-08,-9.2143e-09,3.3194e-05,-1.4916e-07,3.3504e-05,1,0.17253,-0.878,-0.878,0
-1.1392,-0.00054097,0.00020749,-0.012538,-0.0074233,-0.0039951,0.00031428,0.00010004,-3.0003e-08,1.0274e-08,3.3212e-05,-1.4077e-07,3.3483e-05,1,0.17536,-0.876,-0.876,0
-1.1393,-0.00073078,0.00031761,-0.011235,-0.0080965,-0.0051167,0.00031438,0.00010007,-4.8651e-08,1.6188e-08,3.3264e-05,-1.3507e-07,3.3455e-05,1,0.17819,-0.874,-0.874,0
-1.1394,-0.00092059,0.00042773,-0.0099317,-0.0087698,-0.0062383,0.00031447,0.0001001,-6.7299e-08,2.2102e-08,3.3316e-05,-1.2936e-07,3.3427e-05,1,0.18102,-0.872,-0.872,0
-1.1394,-0.0012311,0.00052236,-0.0083528,-0.0086668,-0.0076207,0.00031457,0.00010013,-8.7344e-08,2.5438e-08,3.3359e-05,-1.1573e-07,3.3408e-05,1,0.18385,-0.87,-0.87,0
-1.1395,-0.0021472,0.00036281,-0.0072182,-0.0053332,-0.0085233,0.00031464,0.00010015,-1.1467e-07,1.4034e-08,3.3378e-05,-9.1777e-08,3.3406e-05,1,0.18668,-0.868,-0.868,0
-1.1396,-0.0031796,0.00031655,-0.0059732,-0.0018314,-0.0095031,0.00031471,0.00010018,-1.4781e-07,8.4878e-09,3.3398e-05,-6.7952e-08,3.3407e-05,1,0.1895,-0.866,-0.866,0
-1.1397,-0.004212,0.00027029,-0.0047281,0.0016703,-0.010483,0.00031479,0.0001002,-1.8096e-07,2.9416e-09,3.3417e-05,-4.4127e-08,3.3408e-05,1,0.19233,-0.864,-0.864,0
-1.1396,-0.0046185,-0.00012039,-0.005222,0.00274,-0.010186,0.00031476,0.00010019,-1.9976e-07,-2.0731e-08,3.3416e-05,-5.0117e-08,3.3401e-05,1,0.19516,-0.862,-0.862,0
-1.1396,-0.0043966,-0.0004618,-0.0074711,0.0014676,-0.0080083,0.00031474,0.00010018,-1.9119e-07,-3.563e-08,3.3398e-05,-5.3935e-08,3.3413e-05,1,0.19799,-0.86,-0.86,0
-1.1396,-0.0041609,-0.00080158,-0.0097586,0.0001443,-0.0057888,0.00031471,0.00010018,-1.82e-07,-5.0301e-08,3.3379e-05,-5.7661e-08,3.3426e-05,1,0.20082,-0.858,-0.858,0
-1.1396,-0.0043476,-0.0011538,-0.010938,0.00087863,-0.0045891,0.00031472,0.00010018,-1.9572e-07,-6.3102e-08,3.3368e-05,-4.9228e-08,3.3438e-05,1,0.20365,-0.856,-0.856,0
-1.1396,-0.0046586,-0.0015096,-0.011792,0.002218,-0.0036893,0.00031473,0.00010018,-2.1618e-07,-7.5352e-08,3.3358e-05,-3.722e-08,3.345e-05,1,0.20648,-0.854,-0.854,0
-1.1396,-0.0049277,-0.0016258,-0.011987,0.0044023,-0.0034454,0.00031476,0.00010019,-2.3727e-07,-7.8478e-08,3.3356e-05,-3.02e-08,3.346e-05,1,0.2093,-0.852,-0.852,0
-1.1396,-0.0053776,-0.0016386,-0.011765,0.0060927,-0.0037666,0.00031473,0.00010018,-2.5576e-07,-7.5133e-08,3.3357e-05,-3.3388e-08,3.3452e-05,1,0.21213,-0.85,-0.85,0
-1.1395,-0.0059617,-0.0016693,-0.011502,0.0071544,-0.0042243,0.00031466,0.00010016,-2.723e-07,-7.0804e-08,3.3358e-05,-4.151e-08,3.3432e-05,1,0.21496,-0.848,-0.848,0
-1.1394,-0.0065457,-0.0017,-0.01124,0.008216,-0.0046821,0.00031459,0.00010014,-2.8885e-07,-6.6475e-08,3.336e-05,-4.9631e-08,3.3412e-05,1,0.21779,-0.846,-0.846,0
-1.1394,-0.0063696,-0.0015355,-0.010884,0.0077005,-0.0053044,0.00031448,0.0001001,-2.7581e-07,-5.7669e-08,3.335e-05,-5.5248e-08,3.3394e-05,1,0.22062,-0.844,-0.844,0
-1.1392,-0.0053744,-0.0012733,-0.01031,0.0053623,-0.0062247,0.00031432,0.00010005,-2.3266e-07,-4.88e-08,3.3329e-05,-5.9378e-08,3.3376e-05,1,0.22345,-0.842,-0.842,0
-1.1391,-0.0043793,-0.0010112,-0.009736,0.003024,-0.007145,0.00031416,0.0001,-1.8952e-07,-3.9931e-08,3.3308e-05,-6.3509e-08,3.3358e-05,1,0.22627,-0.84,-0.84,0
