"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.5507,1,0.29,0,-0.71,0
4.6732,1,0.292,0,-0.708,0
4.7603,1,0.294,0,-0.706,0
4.8304,1,0.296,0,-0.704,0
4.8889,1,0.298,0,-0.702,0
4.9234,1,0.3,0,-0.7,0
4.9579,1,0.302,0,-0.698,0
4.9705,1,0.304,0,-0.696,0
4.9727,1,0.306,0,-0.694,0
4.9628,1,0.308,0,-0.692,0
4.9281,1,0.31,0,-0.69,0
4.8934,1,0.312,0,-0.688,0
4.8257,1,0.314,0,-0.686,0
4.7419,1,0.316,0,-0.684,0
4.6379,1,0.318,0,-0.682,0
4.4916,1,0.32,0,-0.68,0
4.3452,1,0.322,0,-0.678,0
4.1673,1,0.324,0,-0.676,0
3.9743,1,0.326,0,-0.674,0
3.781,1,0.328,0,-0.672,0
3.5873,1,0.33,0,-0.67,0
3.3935,1,0.332,0,-0.668,0
3.2284,1,0.334,0,-0.666,0
3.0771,1,0.336,0,-0.664,0
2.9421,1,0.338,0,-0.662,0
2.8408,1,0.34,0,-0.66,0
2.7394,1,0.342,0,-0.658,0
2.6595,1,0.344,0,-0.656,0
2.5898,1,0.346,0,-0.654,0
2.526,1,0.348,0,-0.652,0
2.4742,1,0.35,0,-0.65,0
2.4225,1,0.352,0,-0.648,0
2.3772,1,0.354,0,-0.646,0
2.3351,1,0.356,0,-0.644,0
2.294,1,0.358,0,-0.642,0
2.2553,1,0.36,0,-0.64,0
2.2165,1,0.362,0,-0.638,0
2.1753,1,0.364,0,-0.636,0
2.1329,1,0.366,0,-0.634,0
2.0884,1,0.368,0,-0.632,0
2.0395,1,0.37,0,-0.63,0
1.9907,1,0.372,0,-0.628,0
1.9392,1,0.374,0,-0.626,0
1.8864,1,0.376,0,-0.624,0
1.8352,1,0.378,0,-0.622,0
1.7871,1,0.38,0,-0.62,0
1.739,1,0.382,0,-0.618,0
1.6986,1,0.384,0,-0.616,0
1.6617,1,0.386,0,-0.614,0
1.6285,1,0.388,0,-0.612,0
1.6026,1,0.39,0,-0.61,0
1.5767,1,0.392,0,-0.608,0
1.5563,1,0.394,0,-0.606,0
1.5384,1,0.396,0,-0.604,0
1.5221,1,0.398,0,-0.602,0
1.509,1,0.4,0,-0.6,0
1.496,1,0.402,0,-0.598,0
1.485,1,0.404,0,-0.596,0
1.4749,1,0.406,0,-0.594,0
1.4653,1,0.408,0,-0.592,0
1.4565,1,0.41,0,-0.59,0
1.4477,1,0.412,0,-0.588,0
1.4388,1,0.414,0,-0.586,0
1.4298,1,0.416,0,-0.584,0
1.4201,1,0.418,0,-0.582,0
1.4091,1,0.42,0,-0.58,0
1.398,1,0.422,0,-0.578,0
1.3847,1,0.424,0,-0.576,0
1.3701,1,0.426,0,-0.574,0
1.3539,1,0.428,0,-0.572,0
1.3342,1,0.43,0,-0.57,0
1.3145,1,0.432,0,-0.568,0
1.2909,1,0.434,0,-0.566,0
1.2655,1,0.436,0,-0.564,0
1.2393,1,0.438,0,-0.562,0
1.2118,1,0.44,0,-0.56,0
1.1843,1,0.442,0,-0.558,0
1.1586,1,0.444,0,-0.556,0
1.1337,1,0.446,0,-0.554,0
1.1108,1,0.448,0,-0.552,0
1.0916,1,0.45,0,-0.55,0
1.0725,1,0.452,0,-0.548,0
1.0568,1,0.454,0,-0.546,0
1.0429,1,0.456,0,-0.544,0
1.0298,1,0.458,0,-0.542,0
1.0187,1,0.46,0,-0.54,0
1.0077,1,0.462,0,-0.538,0
0.99745,1,0.464,0,-0.536,0
0.98767,1,0.466,0,-0.534,0
0.9779,1,0.468,0,-0.532,0
0.96817,1,0.47,0,-0.53,0
0.95844,1,0.472,0,-0.528,0
0.94852,1,0.474,0,-0.526,0
0.9385,1,0.476,0,-0.524,0
0.92844,1,0.478,0,-0.522,0
0.91832,1,0.48,0,-0.52,0
0.90819,1,0.482,0,-0.518,0
0.8984,1,0.484,0,-0.516,0
0.88877,1,0.486,0,-0.514,0
0.87951,1,0.488,0,-0.512,0
0.87104,1,0.49,0,-0.51,0
0.86258,1,0.492,0,-0.508,0
0.85506,1,0.494,0,-0.506,0
0.848,1,0.496,0,-0.504,0
0.84151,1,0.498,0,-0.502,0
0.8362,1,0.5,0,-0.5,0
0.83089,1,0.502,0,-0.498,0
0.82687,1,0.504,0,-0.496,0
0.82347,1,0.506,0,-0.494,0
0.82098,1,0.508,0,-0.492,0
0.82037,1,0.51,0,-0.49,0
0.81976,1,0.512,0,-0.488,0
0.82115,1,0.514,0,-0.486,0
0.8235,1,0.516,0,-0.484,0
0.82703,1,0.518,0,-0.482,0
0.83301,1,0.52,0,-0.48,0
0.83899,1,0.522,0,-0.478,0
0.84617,1,0.524,0,-0.476,0
0.85393,1,0.526,0,-0.474,0
0.86171,1,0.528,0,-0.472,0
0.86953,1,0.53,0,-0.47,0
0.87736,1,0.532,0,-0.468,0
0.88402,1,0.534,0,-0.466,0
0.89013,1,0.536,0,-0.464,0
0.89483,1,0.538,0,-0.462,0
0.89659,1,0.54,0,-0.46,0
0.89835,1,0.542,0,-0.458,0
0.89768,1,0.544,0,-0.456,0
0.89583,1,0.546,0,-0.454,0
0.89254,1,0.548,0,-0.452,0
0.88623,1,0.55,0,-0.45,0
0.87992,1,0.552,0,-0.448,0
0.87191,1,0.554,0,-0.446,0
0.86308,1,0.556,0,-0.444,0
0.85403,1,0.558,0,-0.442,0
0.84452,1,0.56,0,-0.44,0
0.835,1,0.562,0,-0.438,0
0.82575,1,0.564,0,-0.436,0
0.81661,1,0.566,0,-0.434,0
0.80812,1,0.568,0,-0.432,0
0.80096,1,0.57,0,-0.43,0
0.7938,1,0.572,0,-0.428,0
0.78775,1,0.574,0,-0.426,0
0.78223,1,0.576,0,-0.424,0
0.77728,1,0.578,0,-0.422,0
0.77353,1,0.58,0,-0.42,0
0.76977,1,0.582,0,-0.418,0
0.76698,1,0.584,0,-0.416,0
0.76466,1,0.586,0,-0.414,0
0.76265,1,0.588,0,-0.412,0
0.76128,1,0.59,0,-0.41,0
0.75992,1,0.592,0,-0.408,0
0.75992,1,0.594,0,-0.406,0
0.76059,1,0.596,0,-0.404,0
0.76187,1,0.598,0,-0.402,0
0.76446,1,0.6,0,-0.4,0
0.76704,1,0.602,0,-0.398,0
0.77168,1,0.604,0,-0.396,0
0.7773,1,0.606,0,-0.394,0
0.78344,1,0.608,0,-0.392,0
0.79066,1,0.61,0,-0.39,0
0.79788,1,0.612,0,-0.388,0
0.80721,1,0.614,0,-0.386,0
0.81755,1,0.616,0,-0.384,0
0.82817,1,0.618,0,-0.382,0
0.83938,1,0.62,0,-0.38,0
0.85059,1,0.622,0,-0.378,0
0.86235,1,0.624,0,-0.376,0
0.87437,1,0.626,0,-0.374,0
0.88583,1,0.628,0,-0.372,0
0.8961,1,0.63,0,-0.37,0
0.90637,1,0.632,0,-0.368,0
0.91342,1,0.634,0,-0.366,0
0.91891,1,0.636,0,-0.364,0
0.92396,1,0.638,0,-0.362,0
0.92812,1,0.64,0,-0.36,0
0.93227,1,0.642,0,-0.358,0
0.93393,1,0.644,0,-0.356,0
