"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7785,1,0.428,0,-0.572,0
2.0886,1,0.43,0,-0.57,0
2.3986,1,0.432,0,-0.568,0
2.7923,1,0.434,0,-0.566,0
3.2263,1,0.436,0,-0.564,0
3.7165,1,0.438,0,-0.562,0
4.3234,1,0.44,0,-0.56,0
4.9304,1,0.442,0,-0.558,0
5.6761,1,0.444,0,-0.556,0
6.4885,1,0.446,0,-0.554,0
7.3373,1,0.448,0,-0.552,0
8.2615,1,0.45,0,-0.55,0
9.1859,1,0.452,0,-0.548,0
10.056,1,0.454,0,-0.546,0
10.9,1,0.456,0,-0.544,0
11.669,1,0.458,0,-0.542,0
12.281,1,0.46,0,-0.54,0
12.893,1,0.462,0,-0.538,0
13.339,1,0.464,0,-0.536,0
13.707,1,0.466,0,-0.534,0
14.019,1,0.468,0,-0.532,0
14.218,1,0.47,0,-0.53,0
14.417,1,0.472,0,-0.528,0
14.532,1,0.474,0,-0.526,0
14.608,1,0.476,0,-0.524,0
14.643,1,0.478,0,-0.522,0
14.596,1,0.48,0,-0.52,0
14.548,1,0.482,0,-0.518,0
14.39,1,0.484,0,-0.516,0
14.179,1,0.486,0,-0.514,0
13.891,1,0.488,0,-0.512,0
13.443,1,0.49,0,-0.51,0
12.994,1,0.492,0,-0.508,0
12.297,1,0.494,0,-0.506,0
11.481,1,0.496,0,-0.504,0
10.553,1,0.498,0,-0.502,0
9.3937,1,0.5,0,-0.5,0
8.2345,1,0.502,0,-0.498,0
7.0325,1,0.504,0,-0.496,0
5.8099,1,0.506,0,-0.494,0
4.6794,1,0.508,0,-0.492,0
3.7401,1,0.51,0,-0.49,0
2.8008,1,0.512,0,-0.488,0
2.1451,1,0.514,0,-0.486,0
1.6258,1,0.516,0,-0.484,0
1.2007,1,0.518,0,-0.482,0
0.97112,1,0.52,0,-0.48,0
0.74155,1,0.522,0,-0.478,0
0.61031,1,0.524,0,-0.476,0
0.52638,1,0.526,0,-0.474,0
0.4619,1,0.528,0,-0.472,0
0.43785,1,0.53,0,-0.47,0
0.4138,1,0.532,0,-0.468,0
0.40285,1,0.534,0,-0.466,0
0.39822,1,0.536,0,-0.464,0
0.39523,1,0.538,0,-0.462,0
0.39566,1,0.54,0,-0.46,0
0.39609,1,0.542,0,-0.458,0
0.39563,1,0.544,0,-0.456,0
0.39474,1,0.546,0,-0.454,0
0.39421,1,0.548,0,-0.452,0
0.39442,1,0.55,0,-0.45,0
0.39463,1,0.552,0,-0.448,0
0.39452,1,0.554,0,-0.446,0
0.39425,1,0.556,0,-0.444,0
0.3934,1,0.558,0,-0.442,0
0.39136,1,0.56,0,-0.44,0
0.38931,1,0.562,0,-0.438,0
0.38819,1,0.564,0,-0.436,0
0.38752,1,0.566,0,-0.434,0
0.38672,1,0.568,0,-0.432,0
0.38566,1,0.57,0,-0.43,0
0.38461,1,0.572,0,-0.428,0
0.38402,1,0.574,0,-0.426,0
0.38365,1,0.576,0,-0.424,0
0.3819,1,0.578,0,-0.422,0
0.37727,1,0.58,0,-0.42,0
0.37264,1,0.582,0,-0.418,0
0.36696,1,0.584,0,-0.416,0
0.36078,1,0.586,0,-0.414,0
0.35468,1,0.588,0,-0.412,0
0.34877,1,0.59,0,-0.41,0
0.34287,1,0.592,0,-0.408,0
0.33661,1,0.594,0,-0.406,0
0.33019,1,0.596,0,-0.404,0
0.32569,1,0.598,0,-0.402,0
0.32521,1,0.6,0,-0.4,0
0.32473,1,0.602,0,-0.398,0
0.32352,1,0.604,0,-0.396,0
0.32197,1,0.606,0,-0.394,0
0.3224,1,0.608,0,-0.392,0
0.32693,1,0.61,0,-0.39,0
0.33147,1,0.612,0,-0.388,0
0.33485,1,0.614,0,-0.386,0
0.33767,1,0.616,0,-0.384,0
0.33906,1,0.618,0,-0.382,0
0.33749,1,0.62,0,-0.38,0
0.33592,1,0.622,0,-0.378,0
0.33555,1,0.624,0,-0.376,0
0.33575,1,0.626,0,-0.374,0
0.33426,1,0.628,0,-0.372,0
0.32927,1,0.63,0,-0.37,0
0.32427,1,0.632,0,-0.368,0
0.32216,1,0.634,0,-0.366,0
0.32144,1,0.636,0,-0.364,0
0.32009,1,0.638,0,-0.362,0
0.31741,1,0.64,0,-0.36,0
0.31473,1,0.642,0,-0.358,0
0.31216,1,0.644,0,-0.356,0
0.30965,1,0.646,0,-0.354,0
0.30665,1,0.648,0,-0.352,0
0.30264,1,0.65,0,-0.35,0
0.29863,1,0.652,0,-0.348,0
0.29762,1,0.654,0,-0.346,0
0.29805,1,0.656,0,-0.344,0
0.2994,1,0.658,0,-0.342,0
0.30264,1,0.66,0,-0.34,0
0.30587,1,0.662,0,-0.338,0
0.30758,1,0.664,0,-0.336,0
0.30854,1,0.666,0,-0.334,0
0.31115,1,0.668,0,-0.332,0
0.31718,1,0.67,0,-0.33,0
0.3232,1,0.672,0,-0.328,0
0.32802,1,0.674,0,-0.326,0
0.33226,1,0.676,0,-0.324,0
0.33398,1,0.678,0,-0.322,0
0.33046,1,0.68,0,-0.32,0
0.32694,1,0.682,0,-0.318,0
0.32527,1,0.684,0,-0.316,0
0.3245,1,0.686,0,-0.314,0
0.32388,1,0.688,0,-0.312,0
0.32361,1,0.69,0,-0.31,0
0.32333,1,0.692,0,-0.308,0
0.31953,1,0.694,0,-0.306,0
0.31404,1,0.696,0,-0.304,0
0.30999,1,0.698,0,-0.302,0
0.30891,1,0.7,0,-0.3,0
0.30784,1,0.702,0,-0.298,0
0.30904,1,0.704,0,-0.296,0
0.31133,1,0.706,0,-0.294,0
0.31493,1,0.708,0,-0.292,0
0.32126,1,0.71,0,-0.29,0
0.32758,1,0.712,0,-0.288,0
0.33233,1,0.714,0,-0.286,0
0.33632,1,0.716,0,-0.284,0
0.33928,1,0.718,0,-0.282,0
0.34012,1,0.72,0,-0.28,0
0.34096,1,0.722,0,-0.278,0
0.34616,1,0.724,0,-0.276,0
0.35346,1,0.726,0,-0.274,0
0.3601,1,0.728,0,-0.272,0
0.36536,1,0.73,0,-0.27,0
0.37062,1,0.732,0,-0.268,0
0.37377,1,0.734,0,-0.266,0
0.37591,1,0.736,0,-0.264,0
0.3785,1,0.738,0,-0.262,0
0.382,1,0.74,0,-0.26,0
0.38551,1,0.742,0,-0.258,0
0.38915,1,0.744,0,-0.256,0
0.39285,1,0.746,0,-0.254,0
0.39404,1,0.748,0,-0.252,0
0.39002,1,0.75,0,-0.25,0
0.386,1,0.752,0,-0.248,0
0.38522,1,0.754,0,-0.246,0
0.386,1,0.756,0,-0.244,0
0.38491,1,0.758,0,-0.242,0
0.37994,1,0.76,0,-0.24,0
0.37497,1,0.762,0,-0.238,0
0.36603,1,0.764,0,-0.236,0
0.35518,1,0.766,0,-0.234,0
0.34795,1,0.768,0,-0.232,0
0.34827,1,0.77,0,-0.23,0
0.34859,1,0.772,0,-0.228,0
0.34247,1,0.774,0,-0.226,0
0.33325,1,0.776,0,-0.224,0
0.32685,1,0.778,0,-0.222,0
0.32633,1,0.78,0,-0.22,0
0.32581,1,0.782,0,-0.218,0
0.32469,1,0.784,0,-0.216,0
0.3233,1,0.786,0,-0.214,0
0.32553,1,0.788,0,-0.212,0
0.33531,1,0.79,0,-0.21,0
