"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1447,0.0014075,0.0018659,0.0020441,0.0087742,-0.0021908,0.00031403,9.9958e-05,3.2166e-08,6.9984e-08,3.3318e-05,5.6597e-08,3.3317e-05,1,0.17253,-0.878,-0.878,0
-1.1447,0.0016292,0.0020838,0.0031399,0.010014,-0.0032069,0.00031405,9.9965e-05,4.4919e-08,8.0798e-08,3.3333e-05,5.716e-08,3.3307e-05,1,0.17536,-0.876,-0.876,0
-1.1445,0.0012577,0.0022799,0.0027262,0.010931,-0.003562,0.00031397,9.9939e-05,4.2138e-08,8.7193e-08,3.3332e-05,5.4035e-08,3.3287e-05,1,0.17819,-0.874,-0.874,0
-1.1442,0.00088619,0.002476,0.0023125,0.011848,-0.0039172,0.00031389,9.9914e-05,3.9357e-08,9.3587e-08,3.3332e-05,5.0911e-08,3.3268e-05,1,0.18102,-0.872,-0.872,0
-1.144,0.0005708,0.0025191,0.0020422,0.012126,-0.0042469,0.00031383,9.9895e-05,3.7176e-08,9.381e-08,3.3333e-05,4.9297e-08,3.3252e-05,1,0.18385,-0.87,-0.87,0
-1.1439,-9.8847e-05,0.0022847,0.0011165,0.011395,-0.0035391,0.00031381,9.989e-05,1.5453e-08,8.1773e-08,3.3327e-05,5.5132e-08,3.3254e-05,1,0.18668,-0.868,-0.868,0
-1.1439,-0.00071005,0.0019954,0.00016737,0.010413,-0.0027973,0.0003138,9.9884e-05,-5.1756e-09,6.7829e-08,3.3319e-05,6.1163e-08,3.3257e-05,1,0.1895,-0.866,-0.866,0
-1.1438,-0.0013213,0.0017061,-0.00078179,0.0094313,-0.0020555,0.00031378,9.9879e-05,-2.5804e-08,5.3884e-08,3.3312e-05,6.7193e-08,3.3261e-05,1,0.19233,-0.864,-0.864,0
-1.1437,-0.0017949,0.0012315,-0.000953,0.0074896,-0.0021238,0.00031374,9.9867e-05,-4.2107e-08,3.8474e-08,3.3293e-05,7.2795e-08,3.3269e-05,1,0.19516,-0.862,-0.862,0
-1.1437,-0.0019998,0.00082035,-0.0015765,0.0063109,-0.0015038,0.00031372,9.986e-05,-5.2239e-08,2.7361e-08,3.3279e-05,7.6091e-08,3.3278e-05,1,0.19799,-0.86,-0.86,0
-1.1437,-0.0021986,0.00041091,-0.0022116,0.0051512,-0.00086679,0.0003137,9.9854e-05,-6.2235e-08,1.6349e-08,3.3265e-05,7.9335e-08,3.3287e-05,1,0.20082,-0.858,-0.858,0
-1.1436,-0.0021502,0.0003893,-0.0030198,0.004688,-0.00034233,0.00031365,9.9838e-05,-6.2221e-08,1.5022e-08,3.3254e-05,7.4422e-08,3.3285e-05,1,0.20365,-0.856,-0.856,0
-1.1435,-0.0020291,0.00048173,-0.003879,0.0044296,0.00014904,0.00031359,9.982e-05,-5.9263e-08,1.6542e-08,3.3244e-05,6.7111e-08,3.328e-05,1,0.20648,-0.854,-0.854,0
-1.1433,-0.0019213,0.00064216,-0.0046608,0.0038616,0.00048749,0.00031353,9.98e-05,-5.6063e-08,2.1585e-08,3.3232e-05,5.7631e-08,3.3276e-05,1,0.2093,-0.852,-0.852,0
-1.1432,-0.0017702,0.00076978,-0.0051749,0.0033367,0.00067835,0.00031349,9.9788e-05,-5.1832e-08,2.7633e-08,3.3225e-05,4.7281e-08,3.3273e-05,1,0.21213,-0.85,-0.85,0
