t,err_u,err_alpha,int_h,int_h_ref
0.516,0.002162460162898464,0.003862716036571924,-4.814293437399099,-4.816708563672637
0.519,0.002169584460269935,0.003881790972812082,-4.815280670044455,-4.81768937770407
0.522,0.002176707546298954,0.003899515533496307,-4.816263769920502,-4.818666365708101
0.525,0.002183817825235212,0.003916378671056006,-4.817243719597118,-4.819639488822274
0.528,0.0021909100868362456,0.0039327199848626405,-4.818219270079854,-4.820608708528772
0.531,0.0021979762207955224,0.003948175164093011,-4.819191363637267,-4.8215739888341345
0.534,0.002205008168366444,0.003963005584824202,-4.82015927732761,-4.822535292870857
0.537,0.0022120012423782736,0.003977106568003142,-4.821123149600145,-4.823492586442489
0.54,0.002218953221362596,0.003990016951357261,-4.822083586201844,-4.824445835991659
0.543,0.002225850235226007,0.0040029085004139675,-4.823039387999058,-4.825395009135446
0.546,0.002232694875230596,0.004014522028607687,-4.823991181395969,-4.826340074925088
0.549,0.002239474776540273,0.004024737527820427,-4.824938749833787,-4.827281003552529
0.552,0.002246187817855327,0.004034154740946168,-4.825882547975234,-4.828217765945341
0.555,0.002252828584994043,0.0040435541981888486,-4.826821837832929,-4.829150334353475
0.558,0.002259387598426387,0.004051061634234562,-4.8277569653236965,-4.830078682733294
0.561,0.0022658602197073124,0.0040581930303020585,-4.828687534752119,-4.831002785961349
0.5640000000000001,0.0022722476007319588,0.004064522617292519,-4.829613927830324,-4.831922619915757
0.5670000000000001,0.0022785373617386045,0.004069750453872627,-4.830536037536243,-4.832838161374066
0.5700000000000001,0.0022847181506919297,0.004072917269252536,-4.831453781427377,-4.833749388951571
0.5730000000000001,0.0022907957076238605,0.004076703010163537,-4.832367166369212,-4.834656281965346
0.5760000000000001,0.0022967578224122763,0.004078711485185749,-4.833275544989727,-4.835558821447054
0.579,0.002302607875431634,0.004080346054770663,-4.834179851118362,-4.836456989089718
0.582,0.002308330030600244,0.004080831787926987,-4.835079343045201,-4.837350767783935
0.585,0.0023139256788840446,0.004079739239278975,-4.835974394269494,-4.838240141882855
0.588,0.0023193847169857033,0.004077879127912667,-4.83686502497458,-4.83912509681797
0.591,0.002324707784611864,0.00407520404136484,-4.837751261882711,-4.840005618977944
0.594,0.0023298796944069304,0.0040714813952394515,-4.838632304793503,-4.840881696510602
0.597,0.0023349058947182842,0.004066757605459124,-4.839508735653969,-4.8417533176894505
0.6,0.002339771882126397,0.00406103188669468,-4.840380680802459,-4.842620472540678
0.603,0.0023444887383613903,0.00405528578642577,-4.84124832593606,-4.8434831524503
0.606,0.0023490421197568164,0.004047874021532193,-4.842110553906666,-4.844341349842087
0.609,0.002353422059652913,0.004038827033060312,-4.842968931626454,-4.8451950574858875
0.612,0.002357627341287689,0.004029742415081216,-4.843821465629154,-4.84604427080201
0.615,0.002361652271637213,0.004019172652803453,-4.844669833822005,-4.8468889848208265
0.618,0.0023654940918716554,0.004008067409848924,-4.8455132854761676,-4.847729195998269
0.621,0.002369147219717978,0.00399621834166765,-4.846351791390083,-4.848564902454524
0.624,0.0023726066601523163,0.003983164015259926,-4.847186205684765,-4.849396103142369
0.627,0.002375867430527377,0.003969448014319862,-4.848015045131693,-4.850222798073995
0.63,0.0023789266604702067,0.003954689110373482,-4.848839470896708,-4.851044987964008
0.633,0.002381773324639173,0.003939478212046516,-4.849658938402078,-4.851862675409295
0.636,0.002384410202699943,0.003923159992549672,-4.850473445623108,-4.852675863739151
