t,err_u,err_alpha,int_h,int_h_ref
0.40800000000000003,0.01194124425107499,0.05978773307731146,-4.7170081449204115,-4.779268177807751
0.41100000000000003,0.011978875393017485,0.05998140771006032,-4.718116323765964,-4.780352014512803
0.41400000000000003,0.012017108397547542,0.06016866477214276,-4.719225742010274,-4.781434081266199
0.417,0.01205597101157183,0.06035379468849753,-4.720332238281136,-4.782514307575487
0.42,0.012095534966108636,0.06054222302892045,-4.721432257406992,-4.7835926237102555
0.423,0.012135881552517791,0.0607384082099839,-4.722524457348739,-4.784668961281742
0.426,0.01217709545270547,0.06094161621804646,-4.723609245279282,-4.785743252047093
0.429,0.012219264105704494,0.06115158840935275,-4.724686527154967,-4.786815427948509
0.432,0.01226247980685767,0.061368289822802284,-4.725756042061419,-4.78788542201326
0.435,0.012306783811573963,0.06155795750878826,-4.7268297123737195,-4.788953167184061
0.438,0.012352243069180454,0.061746921520596916,-4.727897918334988,-4.790018597176331
0.441,0.012398936535603738,0.061938652745801584,-4.728958840166407,-4.791081646751089
0.444,0.012446942876254872,0.06213171483652232,-4.73001290272715,-4.792142250876661
0.447,0.0124963465399506,0.06232999963243513,-4.7310589664573115,-4.793200345342439
0.45,0.012547237017461592,0.06253218578503499,-4.732097200453686,-4.794255866729898
0.453,0.012599624587274984,0.06272763517877601,-4.733135623756405,-4.795308752355806
0.456,0.012653592631842703,0.06292605642779868,-4.734172652629676,-4.796358940461464
0.459,0.012709265272562942,0.06313114883190295,-4.735201444885934,-4.797406370009447
0.462,0.01276674057586344,0.06332235548725942,-4.736231296627675,-4.798450980390403
0.465,0.01282609779094863,0.06348656309809386,-4.7372643606706255,-4.7994927126333575
0.468,0.012887470659267021,0.06365545401440052,-4.738288846057804,-4.800531507680353
0.47100000000000003,0.012951015992861114,0.06382938782651762,-4.739304204075592,-4.801567307590261
0.47400000000000003,0.01301693042138643,0.06400816377494571,-4.740310255517295,-4.802600056052558
0.47700000000000004,0.013085466834814825,0.06419222933164419,-4.741306778698156,-4.803629697354124
0.48,0.01315690060239981,0.06437503573429165,-4.742309199569534,-4.804656176152389
0.483,0.013231688342757363,0.06455229294317831,-4.743315516713657,-4.8056794385799195
0.486,0.013310552627685627,0.06473380727190192,-4.7443157204918185,-4.806699431181638
0.489,0.013393836980669347,0.06488392537477641,-4.745318881432991,-4.807716101543024
0.492,0.013480861195686377,0.06502775178445233,-4.74631635207508,-4.808729399065383
0.495,0.013570805178069887,0.06517597403604028,-4.747304282784164,-4.809739273492333
0.498,0.01366314139771321,0.06531869738501586,-4.748288156310603,-4.8107456758425515
0.501,0.013757575217966967,0.06546070752105015,-4.7492636201048555,-4.8117485585113675
0.504,0.013853916739863203,0.06560994760301359,-4.750227791416044,-4.8127478738314995
0.507,0.013952024044272435,0.06576549371043935,-4.751180961071397,-4.813743576273409
0.51,0.014051786138916271,0.065916674463587,-4.752126134717011,-4.8147356211571495
0.513,0.014153052072697831,0.06603218243361311,-4.753073825952252,-4.81572396444951
0.516,0.01425572748221724,0.06614838169131514,-4.754010849897222,-4.816708563672637
0.519,0.01435973296356553,0.06627091053409556,-4.754936046351134,-4.81768937770407
