2022-01-13 12:01:39.188814 ,u_0,u_1,alpha_0,alpha_1,h
2022-01-13 12:01:39.189952 ,1.000000000000,-0.446666666667,-1.060499121236,-1.538501679754,-1.373301769758
2022-01-13 12:01:39.189958 ,1.000000000000,-0.443333333333,-1.053775903488,-1.523393389247,-1.378404898931
2022-01-13 12:01:39.189965 ,1.000000000000,-0.440000000000,-1.047150496121,-1.508392530132,-1.383457846752
2022-01-13 12:01:39.189971 ,1.000000000000,-0.436666666667,-1.040621272468,-1.493497025343,-1.388460967852
2022-01-13 12:01:39.189977 ,1.000000000000,-0.433333333333,-1.034186647829,-1.478704846553,-1.393414610018
2022-01-13 12:01:39.189984 ,1.000000000000,-0.430000000000,-1.027845078176,-1.464014012654,-1.398319114356
2022-01-13 12:01:39.189990 ,1.000000000000,-0.426666666667,-1.021595058895,-1.449422588310,-1.403174815445
2022-01-13 12:01:39.189996 ,1.000000000000,-0.423333333333,-1.015435123582,-1.434928682549,-1.407982041486
2022-01-13 12:01:39.190002 ,1.000000000000,-0.420000000000,-1.009363842880,-1.420530447417,-1.412741114451
2022-01-13 12:01:39.190009 ,1.000000000000,-0.416666666667,-1.003379823363,-1.406226076671,-1.417452350219
2022-01-13 12:01:39.190015 ,1.000000000000,-0.413333333333,-0.997481706456,-1.392013804521,-1.422116058719
2022-01-13 12:01:39.190022 ,1.000000000000,-0.410000000000,-0.991668167397,-1.377891904421,-1.426732544057
2022-01-13 12:01:39.190028 ,1.000000000000,-0.406666666667,-0.985937914234,-1.363858687896,-1.431302104651
2022-01-13 12:01:39.190034 ,1.000000000000,-0.403333333333,-0.980289686863,-1.349912503411,-1.435825033349
2022-01-13 12:01:39.190041 ,1.000000000000,-0.400000000000,-0.974722256096,-1.336051735286,-1.440301617556
2022-01-13 12:01:39.190047 ,1.000000000000,-0.396666666667,-0.969234422763,-1.322274802637,-1.444732139349
2022-01-13 12:01:39.190054 ,1.000000000000,-0.393333333333,-0.963825016847,-1.308580158363,-1.449116875593
2022-01-13 12:01:39.190060 ,1.000000000000,-0.390000000000,-0.958492896650,-1.294966288162,-1.453456098049
2022-01-13 12:01:39.190066 ,1.000000000000,-0.386666666667,-0.953236947985,-1.281431709586,-1.457750073485
