t,err_u,err_alpha,int_h,int_h_ref
8.676,0.004048719266079503,0.0074733340102369,-5.165850590250908,-5.1686457504057195
8.679,0.00404324011743398,0.007487927397268886,-5.165853084708863,-5.168648101114294
8.682,0.004037511475186589,0.007503202972339521,-5.1658555956840315,-5.16865044144441
8.685,0.004031530601889875,0.007518914579343674,-5.16585792572699,-5.168652771299682
8.688,0.004025298722748456,0.007534851136396221,-5.1658602182108195,-5.1686550905847755
8.691,0.004018815861595001,0.007550893408647207,-5.165862822150301,-5.168657399216699
8.694,0.004012079473663154,0.007567530871035598,-5.165865405536728,-5.168659697113035
8.697000000000001,0.0040050900622870325,0.007584380249322367,-5.165867562692648,-5.168661984185033
8.700000000000001,0.003997845801794198,0.007601708573489228,-5.165869872984609,-5.168664260342702
8.703,0.003990350127002881,0.007618870421694624,-5.165872179605855,-5.168666525507538
8.706,0.003982601422152669,0.007636542641387788,-5.165874572995499,-5.168668779612909
8.709,0.003974598401702059,0.007654473301132796,-5.165877643553121,-5.168671022588169
8.712,0.003966342661821378,0.007672616272715618,-5.165879483947832,-5.168673254364058
8.715,0.003957833537796504,0.0076909779127974495,-5.165881575570754,-5.16867547487263
8.718,0.003949072450124873,0.007709256206001256,-5.165884248595578,-5.168677684070298
8.721,0.003940061249905396,0.007727631039317954,-5.165886538739385,-5.168679881884459
8.724,0.003930797999936111,0.00774644610030826,-5.165888747692781,-5.168682068262353
8.727,0.003921283694353266,0.007765161633633873,-5.1658909104745785,-5.1686842431638995
8.73,0.003911519683520325,0.007784197582564338,-5.1658936087356855,-5.168686406533823
8.733,0.0039015080526777217,0.0078032620563100955,-5.1658956102778735,-5.168688558346828
8.736,0.0038912477392921054,0.007822305758276972,-5.165898034781452,-5.168690698543231
8.739,0.0038807404299107877,0.007841482074759303,-5.165900128175684,-5.168692827099767
8.742,0.0038699878732606713,0.00786052970321639,-5.165902207453051,-5.168694943986367
8.745000000000001,0.003858991591059596,0.00787962684811309,-5.165904452443919,-5.168697049162861
8.748,0.0038477518103824933,0.007899033995092859,-5.165906768222915,-5.16869914261691
8.751,0.0038362706381313938,0.007918183457092165,-5.16590901270401,-5.168701224319385
8.754,0.003824548911447145,0.007937604104535777,-5.165910866452171,-5.16870329424574
8.757,0.003812589763650965,0.007956547348721404,-5.16591325370197,-5.1687053523994395
8.76,0.00380039281995543,0.00797582174157243,-5.165915357384054,-5.168707398749915
8.763,0.003787961879778159,0.007994798273976346,-5.165917922776434,-5.168709433313278
8.766,0.0037752956176505363,0.008014078605759305,-5.1659196230348865,-5.168711456061239
8.769,0.00376240007030673,0.008032946454855475,-5.165921666099982,-5.168713467008585
8.772,0.003749273146545942,0.008052098822969929,-5.165923692444194,-5.168715466164659
8.775,0.003735920047410934,0.00807070842999448,-5.16592583782071,-5.168717453514966
8.778,0.0037223410609916905,0.008089696353646043,-5.165927875830179,-5.168719429094656
8.781,0.003708540141371266,0.008107977252871273,-5.165930050810279,-5.16872139291297
8.784,0.003694517803484549,0.008126695835208399,-5.165932082037774,-5.168723344977172
8.787,0.003680276092014424,0.008145217219706671,-5.165934045962032,-5.16872528530686
8.790000000000001,0.003665820625805551,0.008163207905217316,-5.16593615479942,-5.168727213933267
8.793000000000001,0.003651152264398525,0.0081813084489375,-5.165938168975359,-5.168729130892088
8.796,0.0036362737375858502,0.008199408781548092,-5.16593993309044,-5.168731036199771
