"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.136,-0.00012305,-0.0068394,-0.020709,-0.020001,-0.0056759,0.00031353,9.9799e-05,-8.394e-08,-1.6471e-07,3.3182e-05,-9.3177e-08,3.3325e-05,1,0.11314,0.92,-0.92,0
-1.1369,0.0019754,-0.007025,-0.01577,-0.02441,-0.008042,0.00031383,9.9896e-05,-9.9167e-09,-2.0346e-07,3.3221e-05,-1.27e-07,3.3363e-05,1,0.11597,0.918,-0.918,0
-1.1376,0.0037856,-0.0067759,-0.011298,-0.026165,-0.010446,0.00031409,9.9979e-05,6.1963e-08,-2.2591e-07,3.3261e-05,-1.5838e-07,3.3389e-05,1,0.11879,0.916,-0.916,0
-1.1381,0.0053078,-0.0060921,-0.0072904,-0.025266,-0.012887,0.00031431,0.00010005,1.317e-07,-2.3205e-07,3.3301e-05,-1.8733e-07,3.3404e-05,1,0.12162,0.914,-0.914,0
-1.1384,0.0065418,-0.0049736,-0.0037491,-0.021714,-0.015366,0.00031448,0.0001001,1.993e-07,-2.2188e-07,3.3342e-05,-2.1385e-07,3.3407e-05,1,0.12445,0.912,-0.912,0
-1.1386,0.0074878,-0.0034203,-0.00067331,-0.015508,-0.017883,0.0003146,0.00010014,2.6476e-07,-1.9541e-07,3.3384e-05,-2.3792e-07,3.3398e-05,1,0.12728,0.91,-0.91,0
-1.1379,0.0050926,-0.003116,-0.0051402,-0.010903,-0.015465,0.0003144,0.00010008,2.0878e-07,-1.5665e-07,3.3369e-05,-2.0255e-07,3.336e-05,1,0.13011,0.908,-0.908,0
-1.1373,0.0028262,-0.0031214,-0.0099592,-0.0078773,-0.012543,0.0003142,0.00010001,1.4617e-07,-1.2941e-07,3.335e-05,-1.7162e-07,3.333e-05,1,0.13294,0.906,-0.906,0
-1.1367,0.00068847,-0.0034364,-0.01513,-0.0064295,-0.0091173,0.00031401,9.9953e-05,7.6936e-08,-1.137e-07,3.3326e-05,-1.4511e-07,3.3306e-05,1,0.13576,0.904,-0.904,0
-1.1362,-0.0013205,-0.0040611,-0.020654,-0.00656,-0.0051881,0.00031383,9.9895e-05,1.0724e-09,-1.0952e-07,3.3297e-05,-1.2304e-07,3.3289e-05,1,0.13859,0.902,-0.902,0
-1.1357,-0.0032007,-0.0049954,-0.026529,-0.0082688,-0.00075508,0.00031366,9.984e-05,-8.1422e-08,-1.1686e-07,3.3263e-05,-1.0539e-07,3.3278e-05,1,0.14142,0.9,-0.9,0
-1.1359,-0.0027778,-0.0065871,-0.024978,-0.016181,-0.0016884,0.00031368,9.9847e-05,-9.4103e-08,-1.7796e-07,3.3244e-05,-1.0891e-07,3.3302e-05,1,0.14425,0.898,-0.898,0
-1.1361,-0.0021485,-0.0077607,-0.022683,-0.023324,-0.0033718,0.0003137,9.9855e-05,-9.6521e-08,-2.3071e-07,3.3232e-05,-1.1235e-07,3.3319e-05,1,0.14708,0.896,-0.896,0
-1.1363,-0.0013127,-0.0085162,-0.019645,-0.0297,-0.0058055,0.00031373,9.9864e-05,-8.8675e-08,-2.7512e-07,3.3225e-05,-1.1569e-07,3.3332e-05,1,0.14991,0.894,-0.894,0
-1.1366,-0.00027059,-0.0088536,-0.015864,-0.035308,-0.0089893,0.00031376,9.9873e-05,-7.0565e-08,-3.1119e-07,3.3225e-05,-1.1896e-07,3.3339e-05,1,0.15274,0.892,-0.892,0
-1.1368,0.00097801,-0.0087729,-0.01134,-0.040148,-0.012923,0.00031379,9.9883e-05,-4.219e-08,-3.3891e-07,3.3231e-05,-1.2213e-07,3.334e-05,1,0.15556,0.89,-0.89,0
-1.1366,0.0011511,-0.0077335,-0.0095818,-0.036969,-0.015121,0.00031378,9.988e-05,-9.4688e-09,-3.0228e-07,3.3257e-05,-1.1781e-07,3.3313e-05,1,0.15839,0.888,-0.888,0
-1.1364,0.0010308,-0.0069117,-0.0088901,-0.03431,-0.016336,0.00031375,9.9871e-05,9.5758e-09,-2.7043e-07,3.3282e-05,-1.1039e-07,3.3282e-05,1,0.16122,0.886,-0.886,0
-1.1362,0.00061705,-0.0063076,-0.0092645,-0.032171,-0.016568,0.00031371,9.9857e-05,1.4942e-08,-2.4337e-07,3.3305e-05,-9.9871e-08,3.3247e-05,1,0.16405,0.884,-0.884,0
-1.136,-9.0119e-05,-0.0059212,-0.010705,-0.030551,-0.015819,0.00031365,9.9837e-05,6.6316e-09,-2.211e-07,3.3327e-05,-8.6254e-08,3.321e-05,1,0.16688,0.882,-0.882,0
-1.1357,-0.0010907,-0.0057525,-0.013212,-0.029451,-0.014086,0.00031357,9.9811e-05,-1.5357e-08,-2.0362e-07,3.3347e-05,-6.954e-08,3.3169e-05,1,0.16971,0.88,-0.88,0
-1.1363,-9.641e-05,-0.0058672,-0.011458,-0.026639,-0.014013,0.00031375,9.9869e-05,2.2818e-09,-2.0645e-07,3.3361e-05,-7.5554e-08,3.3201e-05,1,0.17253,0.878,-0.878,0
-1.1368,0.00066828,-0.0059139,-0.0098368,-0.024517,-0.014116,0.0003139,9.9918e-05,1.7063e-08,-2.101e-07,3.3375e-05,-8.4261e-08,3.3226e-05,1,0.17536,0.876,-0.876,0
-1.1372,0.0012033,-0.0058926,-0.0083495,-0.023086,-0.014396,0.00031402,9.9957e-05,2.8986e-08,-2.1457e-07,3.3389e-05,-9.566e-08,3.3243e-05,1,0.17819,0.874,-0.874,0
